#
# sample texts
#
# sources:
# - groen-geil boekje
# - wikipedia
#

#
# klinkers
#

# ei en ij
zijn / zèn
ongein / ongèn
blijft / blèf
lijf / lèf
kijk / kèk
lijk / lèk
lijken / lèke
lijkwit / lèkwit
lelijk / leilijk
gelijk / gelèk
gelijke / gelèke
gelijkheid / gelèkheid
ongelijk / ongelèk
bangelijk / bangelijk
mogelijk / maugelijk
mogelijke / maugelijke
gelijkheid / gelèkhèd
mogelijkheid / maugelijkhèd
degelijk / deigelijk
tegelijk / tegelèk
eigenlijk / ègelijk
slijk / slèk
huislijkheid / hùislijkhèd
huwelijk / huwelijk
blijken / blèke
blijkens / blèkes
vergelijk / vergelèk
vergelijking / vergelèking
dergelijks / dergelijks
blije / blèje

# lange o/oo
groot / graut
grote / graute
mooi  / maui
mooie / mauie
klootviool / klautviaul
voor / voâh
koorts / koâhts
opera / aupera
koper / kaupâhblablah

# au/ou/ouw/auw
houd / hâh
jou / jâh
goud / gâhd
gouden / gâhwe
vrouw / vrâh
flauw / flâh
flauwe / flâhwe
gebouw / gebâh
miauw / miâh
gemiauw / gemiâh
gemiauwd / gemiâhd

# ui
buik / bùik
ruikt / rùik
ui / ùi
rui / rùi

# eu
deuken / duike
neus / nuis
beuken / buike
leuke / luike
kleur / kleuâh
scheur / scheuâh
# kleuren / kleure (?)

# lange e wordt ei
heet / heit
hete / heite
twee / twei
saté / satei
diarree / diarei

# ua wordt uwa
situatie / situwasie
menstruatie / menstruwasie
nuance / nuanse
# quasi / quasi (?)

# lange a blijft een lange a, tenzij gevolgd door r
bass / baas
kaal / kaal
naar / naah
maar / maah
waar / waah

# lange u blijft een lange u (behalve in uitzonderingsgevallen)


#
# medeklinkers
#

# de r na een korte klank wordt een g
barst / bagst
hart / hagt
Martin / Magtin
varken / varreke

# -aar
haar / haah
ooievaar / auievaah
naar / naah
waar / waah

# na overige klanken (a, e, i, o, u, eu, ie, oe) wordt de r een âh
door / doâh
kier / kieâh
deur / deuâh
bar / bâh
meur / meuâh
goor / goâh
zuur / zuâh
bier / bieâh


#
# extra lettergreep voor -l + medeklinker en -r + medeklinker
#

# -ld
held / held

# -lf
zelf / zelluf

# -lg
velg / vellug

# -lk
volk / volluk
volks / volluks
melk / melluk
melkt / mellukt

# -lm
film / fillum
kalm / kallum

# -lp
help / hellup

# -ls
vals / vals

# -lt
valt / valt

# -rd (?)
hard / hard
haard / haard

# -rf
nerf / nerruf
herfst / herrufs

# -rg
berg / berrug
zorg / zorrug
burg / burrag
wurgt / wurrugt

# -rk
sterk / sterrek
sterks / sterreks
sterkst / sterreks
sterkte / sterrekte

# -rm
arm / arrum

# -rn
# lantaarn (?)
kern / kerrun
urn / urrun

# -rp
dorp / dorrup
terp / terrup
worp / worrup

# -rs
kers / kers
worst / wogs

# -rt
hart / hagt
scheurt / scheâht
viert / vieâht

# -rw
murw / murw


#
# lidwoorden
#

# het wordt het, ut of 't
# een wordt een, un of 'n
# contracties vormen uitzonderingen


#
# uitgangen
#

# -er wordt -âh
lekker / lekkâh
kabouter / kabâhtâh

# -ig wordt -ag
machtig / machtag
tachtig / tachtag
rustig / rustag

# -eer wordt -eâh
zweer / zweâh
meneer / meneâh
meneertje / meneâhtsje
weer / weâh
keer / keâh
peer / peâh
neer / neâh

# -tie wordt -sie
# -en wordt -e (alleen eind van woord)
# -en mag ook -ûh aan einde van de zin

# verkleinwoorden krijgen -ie
bakje koffie / bakkie koffie

huisje / hùissie
boompje / baumpie
beestje / beissie

# verkleinwoorden op -tje mogen een tussen s; hoeft niet
pilletjes / pilletsjes
gabbâhtsje / gabbertje
broertje / broeâhtsje


#
# contracties
#

hallo, ken ik jou? / hallo, kennik jâh?
mag het / maggut
aan het / annut
van het / vannut
als een / assun
ik dacht het / dachut
van jou / vajjâh
al een / alle
kijk dan / kèktan

#
# inheemse woorden
#

euro / pleuro


#
# voorbeeld van wikipedia
# FIXME: haags seems to contain various errors
#

# Het Haags is het stadsdialect dat door de autochtone "volksklasse" van Den Haag wordt gesproken. / 't Haags isset stasdiâhlek dat doâh de âhtogtaune "volleksklasse" van De Haag wogt gesprauke.
# Het behoort tot de Zuid-Hollandse dialecten. / Et behoâht tot de Zùid-Hollandse dialekte.
# Als typisch randstedelijk dialect heeft het een grammatica en syntaxis die nauwelijks afwijken van het Standaardnederlands. / As typies randsteidelek dialek heb et een grammatikaah en syntaksis die nâhweleks afwèke van et Standaagdneidâhlands.
# Het verschilt echter aanzienlijk meer van deze taalvorm dan het Rotterdams of het Leids. / Et veschilt echtâh anzienlek meâh van deize taalvorrem dan et Rottâhdams of et Lèds.


#
# getallen
#

het is 2 uur / 't is 2 uâh
Pi is ongeveer 3.14. / Pi is ongeveâh 3.14.
4e keer / 4e keâh
tot drie: 1, 2, 3. / tot drie: 1, 2, 3.


#
# overig
#

't is 'n mooie dag. / 't is 'n mauie dag.
